feature,type,source,annotator
SBP,,SnapGene,
ScCas9,,SnapGene,
Sce VMA intein 3' region,,SnapGene,
Sce VMA intein 5' region,,SnapGene,
SCFP3A,,SnapGene,
SEAP,,SnapGene,
Sec61-beta,,SnapGene,
SET1,,SnapGene,
SET2,,SnapGene,
SET3,,SnapGene,
SFFV promoter,promoter,SnapGene,
SGFP2,,SnapGene,
Shine-Dalgarno sequence,,SnapGene,
SiriusGFP,,SnapGene,
SIRT1,,SnapGene,
SK primer,primer_bind,SnapGene,
Skylan-NS,,SnapGene,
Slow-FT,,SnapGene,
small t antigen,,SnapGene,
small t intron,intron,SnapGene,
SmR,antibiotic,SnapGene,
smURFP,,SnapGene,
SNAC tag,,SnapGene,
SNAP-tag(R),,SnapGene,
SNR52 promoter,promoter,SnapGene,
sopA,,SnapGene,
sopB,,SnapGene,
sopC,,SnapGene,
soxR terminator,terminator,SnapGene,
SP6 promoter,promoter,SnapGene,
SpCas9-HF1,,SnapGene,
SpCas9-HF2,,SnapGene,
SpCas9-HF4,,SnapGene,
Spot-Tag,,SnapGene,
SR-alpha promoter,promoter,SnapGene,
ssrA tag,,SnapGene,
St1 gRNA scaffold,,SnapGene,
St1Cas9,,SnapGene,
St1dCas9,,SnapGene,
Strep-Tag II,,SnapGene,
sTRSV HHRz,,SnapGene,
SUMO,,SnapGene,
SUMO2,,SnapGene,
SUMO3,,SnapGene,
SUP4 terminator,terminator,SnapGene,
superecliptic pHluorin,,SnapGene,
superfolder GFP,,SnapGene,
SuperNova,,SnapGene,
SuperNova2,,SnapGene,
supF,tRNA,SnapGene,
SV40 intron,intron,SnapGene,
SV40 NLS,,SnapGene,
SV40 ori,rep_origin,SnapGene,
SV40 poly(A) signal,terminator,SnapGene,
SV40 promoter,promoter,SnapGene,
SYFP2,,SnapGene,
T2A,,SnapGene,
T3 promoter,promoter,SnapGene,
T3Te terminator,terminator,SnapGene,
T5 promoter,promoter,SnapGene,
T7 lysozyme,,SnapGene,
T7 Phi-3,,SnapGene,
T7 promoter,promoter,SnapGene,
T7 tag (gene 10 leader),,SnapGene,
T7 terminator,terminator,SnapGene,
T7Te terminator,terminator,SnapGene,
tac promoter,promoter,SnapGene,
TadA,,SnapGene,
TadA*(6,,SnapGene,
TadA*(7,,SnapGene,
Tag-100,,SnapGene,
TagBFP,,SnapGene,
TagCFP,,SnapGene,
TagGFP2,,SnapGene,
TagRFP,,SnapGene,
TagRFP-T,,SnapGene,
TagRFP657,,SnapGene,
TagYFP,,SnapGene,
Taq polymerase,,SnapGene,
tbb-2 terminator,terminator,SnapGene,
TBG promoter,promoter,SnapGene,
TcR,antibiotic,SnapGene,
TDsmURFP,,SnapGene,
tdTomato,,SnapGene,
TEE,,SnapGene,
TEF promoter,promoter,SnapGene,
TEF terminator,terminator,SnapGene,
TEF1 promoter,promoter,SnapGene,
telL,,SnapGene,
TelN,,SnapGene,
telR,,SnapGene,
tet operator,protein_bind,SnapGene,
tet promoter,promoter,SnapGene,
Tet-On(R) 3G,,SnapGene,
tetA promoter,promoter,SnapGene,
TetR,antibiotic,SnapGene,
tetR - tetA promoters,promoter,SnapGene,
tetracycline response element,,SnapGene,
tetracysteine tag,,SnapGene,
TEV protease,,SnapGene,
TEV site,,SnapGene,
thrombin site,,SnapGene,
Thy1,,SnapGene,
tight TRE promoter,promoter,SnapGene,
Timer,,SnapGene,
TMV Omega,,SnapGene,
Tn5 ME,,SnapGene,
Tn5 transposase,,SnapGene,
Tn7L,,SnapGene,
Tn7R,,SnapGene,
tonB terminator,terminator,SnapGene,
Topaz YFP,,SnapGene,
tPA signal - pro sequence,sig_peptide,SnapGene,
TPGI promoter,promoter,SnapGene,
TPI1 promoter,promoter,SnapGene,
TpR,,SnapGene,
tracrRNA,,SnapGene,
traJ,,SnapGene,
trc promoter,promoter,SnapGene,
TRE3G BI promoter,promoter,SnapGene,
TRE3G promoter,promoter,SnapGene,
TRE3GS promoter,promoter,SnapGene,
TRE3GV promoter,promoter,SnapGene,
TREmod - U6 promoter,promoter,SnapGene,
trfA,,SnapGene,
Trigger Factor,,SnapGene,
TRIM21,,SnapGene,
tRNA(CUA),tRNA,SnapGene,
TRP1,,SnapGene,
TRP1 promoter,promoter,SnapGene,
trpC promoter,promoter,SnapGene,
trpC terminator,terminator,SnapGene,
TrxA,,SnapGene,
tTA,,SnapGene,
tTA-Advanced,,SnapGene,
tTS,,SnapGene,
TurboFP602,,SnapGene,
TurboFP635,,SnapGene,
TurboGFP,,SnapGene,
TurboID,,SnapGene,
TurboRFP,,SnapGene,
TurboYFP,,SnapGene,
TVMV protease,,SnapGene,
TVMV site,,SnapGene,
Twin-Strep-tag,,SnapGene,
U6 promoter,promoter,SnapGene,
UAS,,SnapGene,
UbC promoter,promoter,SnapGene,
Ubi promoter,promoter,SnapGene,
ubiquitin,,SnapGene,
ubiquitin-K0,,SnapGene,
ubiquitin-K11,,SnapGene,
ubiquitin-K27,,SnapGene,
ubiquitin-K29,,SnapGene,
ubiquitin-K33,,SnapGene,
ubiquitin-K48,,SnapGene,
ubiquitin-K48R,,SnapGene,
"ubiquitin-K48R,K63R",,SnapGene,
ubiquitin-K6,,SnapGene,
ubiquitin-K63,,SnapGene,
ubiquitin-K63R,,SnapGene,
UGI,,SnapGene,
UnaG,,SnapGene,
URA3,,SnapGene,
URA3 promoter,promoter,SnapGene,
urg1 promoter,promoter,SnapGene,
V5 tag,,SnapGene,
VC155,,SnapGene,
Venus,,SnapGene,
vermilion,,SnapGene,
VN155(I152L),,SnapGene,
VN173,,SnapGene,
VP16 AD,,SnapGene,
VP160,,SnapGene,
VP48,,SnapGene,
VP64,,SnapGene,
VP96,,SnapGene,
VSV-G,,SnapGene,
VSV-G tag,,SnapGene,
VSV-G tsO45,,SnapGene,
WELQut site,,SnapGene,
WPRE,,SnapGene,
xCas9-3,,SnapGene,
Xenopus globin 3'-UTR,3'UTR,SnapGene,
Xenopus globin 5'-UTR,5'UTR,SnapGene,
Xpress(TM) tag,,SnapGene,
XylS,,SnapGene,
Y-FAST,,SnapGene,
yeGFP,,SnapGene,
YPet,,SnapGene,
Z-basic tag,,SnapGene,
Zdk1,,SnapGene,
ZF binding site,protein_bind,SnapGene,
ZFHD1,,SnapGene,
ZsGreen,,SnapGene,
ZsGreen1,,SnapGene,
ZsYellow1,,SnapGene,
Nt-R-nsp14,degron,SnapGene,DAS
